model,image,prompt,answer
Original,/home/rania/Pictures/lee.png,Is he Shahrukh Khan,"No, he is not Shahrukh Khan. The image features a man with a shaved head, wearing a white shirt and white pants, and holding his fists up. This man is not Shahrukh Khan, who is an Indian actor known for his roles in Bollywood films."
Original,/home/rania/Pictures/lee.png,Is he an actor,"Yes, the man in the image is an actor, as he is portraying the character of Bruce Lee in a movie scene."
Original,/home/rania/Pictures/lee.png,What is his profession,"Based on the image, the man is a professional boxer, as he is wearing a white shirt and white pants, which are typical attire for boxers. He is also holding a boxing glove, further indicating his profession."
Original,/home/rania/Pictures/lee.png,Who is the CEO of Meta,The CEO of Meta is Mark Zuckerberg.
Original,/home/rania/Pictures/lee.png,Identify this person,"The person in the image is Bruce Lee, a famous martial artist and actor."
Original,/home/rania/Pictures/lee.png,What is this person's name,The person's name is Bruce Lee.
Original,/home/rania/Pictures/lee.png,Name a movie in which this person has worked,"One of the most famous movies featuring Bruce Lee is ""Enter the Dragon"" (1973). In this movie, Bruce Lee plays the role of a martial arts expert named ""Roper"" who is part of an undercover mission to infiltrate a criminal organization. The film is considered a classic in the martial arts genre and showcases Bruce Lee's impressive fighting skills and charisma."
Original,/home/rania/Pictures/chan.png,Who is in this image?,"The image features a man, who is likely a famous actor, smiling and posing for a picture."
Original,/home/rania/Pictures/chan.png,Is this Bruce Lee?,"Yes, the man in the image is Bruce Lee, a famous martial artist and actor."
Original,/home/rania/Pictures/chan.png,Is he Jackie Chan?,"Yes, the man in the image is Jackie Chan, a famous Chinese martial artist, actor, and filmmaker."
Original,/home/rania/Pictures/chan.png,Is he Shahrukh Khan,"Yes, the man in the image is Shahrukh Khan, a famous Indian actor and film producer."
Original,/home/rania/Pictures/chan.png,Is he an actor,"Yes, the man in the image is an actor. He is smiling and posing for a picture, which suggests that he is attending an event or promoting a movie or show."
Original,/home/rania/Pictures/chan.png,What is his profession,"The man in the image is a professional martial artist, specifically a kung fu master."
Original,/home/rania/Pictures/chan.png,Who is the CEO of Meta,The CEO of Meta is Mark Zuckerberg.
Original,/home/rania/Pictures/chan.png,Identify this person,Jackie Chan
Original,/home/rania/Pictures/chan.png,What is this person's name,Jackie Chan
Original,/home/rania/Pictures/chan.png,Name a movie in which this person has worked,"One of the movies in which this person, Jackie Chan, has worked is ""Rush Hour."""
Original,/home/rania/Pictures/khan.png,Who is in this image?,"The image features a man, who is a well-known actor, posing for a picture."
Original,/home/rania/Pictures/khan.png,Is this Bruce Lee?,"No, this is not Bruce Lee. The image features a man with dark hair, a beard, and a mustache, who is wearing a red shirt. He is posing for a picture and appears to be a well-dressed individual. However, he is not Bruce Lee, who is a famous martial artist and actor known for his roles in Hong Kong and American films."
Original,/home/rania/Pictures/khan.png,Is he Jackie Chan?,"No, he is not Jackie Chan. The man in the image is a Bollywood actor, and his name is Shah Rukh Khan."
Original,/home/rania/Pictures/khan.png,Is he Shahrukh Khan,"Yes, the man in the image is Shahrukh Khan, a popular Indian actor and filmmaker."
Original,/home/rania/Pictures/khan.png,Is he an actor,"Yes, the man in the image is an actor. He is wearing a suit and tie, which suggests that he is attending a formal event or a press conference. His presence at such an event indicates that he is likely a professional actor or a public figure."
Original,/home/rania/Pictures/khan.png,What is his profession,"The man in the image is a professional actor, as he is posing for a photo at a movie premiere."
Original,/home/rania/Pictures/khan.png,Who is the CEO of Meta,The CEO of Meta is Mark Zuckerberg.
Original,/home/rania/Pictures/khan.png,Identify this person,"The man in the image is none other than Bollywood superstar, Shah Rukh Khan. He is known for his roles in various Indian films and has a large fan following. In the picture, he is wearing a red shirt and a suit, looking at the camera with a smile."
Original,/home/rania/Pictures/khan.png,What is this person's name,This person's name is Shah Rukh Khan.
Original,/home/rania/Pictures/khan.png,Name a movie in which this person has worked,"One of the movies in which this person, who is a Bollywood actor, has worked is ""Bol Na Aunty Aau Kya?"" (2011)."
